Scientific Name,Aitkin,Anoka,Becker,Beltrami,Benton,Big Stone,Blue Earth,Brown,Carlton,Carver,Cass,Chippewa,Chisago,Clay,Clearwater,Cook,Cottonwood,Crow Wing,Dakota,Dodge,Douglas,Faribault,Fillmore,Freeborn,Goodhue,Grant,Hennepin,Houston,Hubbard,Isanti,Itasca,Jackson,Kanabec,Kandiyohi,Kittson,Koochiching,Lac Qui Parle,Lake,Lake of the Woods,Le Sueur,Lincoln,Lyon,Mahnomen,Marshall,Martin,McLeod,Meeker,Mille Lacs,Morrison,Mower,Murray,Nicollet,Nobles,Norman,Olmsted,Otter Tail,Pennington,Pine,Pipestone,Polk,Pope,Ramsey,Red Lake,Redwood,Renville,Rice,Rock,Roseau,Saint Louis,Scott,Sherburne,Sibley,Stearns,Steele,Stevens,Swift,Todd,Traverse,Wabasha,Wadena,Waseca,Washington,Watonwan,Wilkin,Winona,Wright,Yellow Medicine
Andrena accepta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Andrena aff. nigrihirta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrena algida,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Andrena aliciae,,,,,,,,,,x,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Andrena alleghaniensis,,x,x,,,,,,,,,,x,,x,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,x,,
Andrena andrenoides,,x,,,,,,,,,,,,x,,,,,,,,,,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,
Andrena arabis,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Andrena asteris,,x,,,,x,,,,,,,,x,,,,,x,,,,x,,,,x,,,x,,,,x,,,,,,,,,,x,,,,,x,,x,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,,,,,x,,,,,
Andrena barbilabris,,x,x,,,x,,,,,,,x,,x,,,x,,,,,,,,,x,x,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,x,,x,,,,,x,,x,,,,,x,,,,,,x,,,,,
Andrena bisalicis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,
Andrena bradleyi,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrena brevipalpis,,x,x,x,x,,,,,,,,,,x,,,x,,,x,,,,,,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,x,,,,x,,,,,,,,x,,,,,x,,,x,,,x,,
Andrena campanulae,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrena canadensis,x,x,x,,,x,,,x,,x,,,,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,x,,,,,,,x,,,,,,,,x,,,,,,x,,,,,,,x,,,,,,,,x,,,,,,,,,,x
Andrena carlini,x,x,x,,,,x,,,x,,,x,x,x,,,,x,,,,x,,x,,x,x,x,x,,x,,x,,,,,,x,,x,,,,,x,x,x,,,,,,,x,,x,,x,x,x,,x,,x,x,,x,x,x,,x,,x,,,,x,,,x,,,x,x,
Andrena carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
Andrena ceanothi,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,x,,,,,,,,,,,x,,,,,
Andrena chromotricha,,,x,,,x,,,,x,x,x,x,x,,,,,,,x,,,,,,x,,,x,,,,x,,,,,,,,x,,,x,,,,,,,,,x,x,x,,,,,x,x,,x,,,,,,,,,x,,,x,,,,,,,,,,,
Andrena clarkella,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
Andrena colletina,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrena commoda,,x,x,,,,,,,x,,,,x,,,,,,,x,x,,x,,,x,x,,,,x,,x,x,,,x,,,,x,,,,,,,,,,,x,,x,,,,,x,x,x,x,x,,,x,,x,x,,,,x,x,,,x,x,,,x,,x,,,
Andrena cragini,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrena crataegi,,x,x,x,,,,,x,,x,,x,x,x,,,,x,,,x,x,,,x,x,x,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,x,x,,x,,,,x,,x,x,,,,,,x,,,x,,,,,x,,,x,,,x,,
Andrena cressonii,,x,,,x,,,,,,,x,x,x,,,,,x,,x,x,,x,,,x,x,,,,,,x,,,,,,,,,,,,x,,x,,,x,,,x,,,,x,,x,x,x,,,,,,,,x,,,x,,,x,,,x,,,x,,,,x,
Andrena distans,,,,,x,,,,,,,,,,,,,,x,x,,,,,,,x,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,
Andrena dunningi,,x,x,,,,x,,,,,,,x,,,,,x,,,x,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,,,,,x,,,,x,,,,x,,,,,,,x,,,,,,,,,,,,,x,,,,,
Andrena erigeniae,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrena erythrogaster,,x,,,,,,,,,,,x,x,,,,,,,,,x,,x,,x,x,,x,,,,x,,,,,,x,,,,,,,,,,,,,,,x,,,x,,,x,x,,,,,,,,,x,,,,,,,,,,,x,,,x,,
Andrena erythronii,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Andrena forbesii,,x,x,,,,,,,,,,x,x,x,,,,x,,x,,x,,,,x,x,x,x,x,,,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,,,,,,,x,,x,,x,,,,,,,,,x,,,,,
Andrena fragilis,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrena frigida,,x,,,,,,,,,x,,x,x,,,,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Andrena geranii,,x,x,,,,,,,,,,x,x,,,,x,x,,,,,,,,x,x,,x,,,,x,,,,,,x,,,,,x,x,,x,,,,,,x,,,,,,,x,x,,,,,,,,x,,,x,,,,,,,,,x,,,,,
Andrena haynesi,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrena helianthi,,x,x,,x,x,x,,,x,,x,x,x,,,x,,x,,x,,,x,,x,x,,x,,,x,,x,,,,,,,,x,,,x,,x,,,,,,x,,,x,,x,x,,x,x,,x,,,x,,,x,,x,x,,,x,,x,,,,x,x,x,,,x
Andrena helianthiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrena hippotes,,x,,,,x,,,,,,,x,x,,,,,x,,x,,,,x,,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,x,,,,,x,,,,,,,,,,,x,,,x,,
Andrena hirticincta,x,x,x,,,x,,,x,x,x,,x,x,x,,,,x,x,,,,,,x,x,,,x,,,,x,,,,,,,x,,,,,,,,,,,,,x,,x,,x,,x,x,x,,,,,,,x,,,x,x,,x,,,,x,x,,x,,,,x,
Andrena illinoiensis,,x,,,,,,,,,,,,x,,,,,,,,,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,
Andrena imitatrix,,x,x,,,,,,,x,,,,,,,,,x,,,,x,,x,,x,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,x,,,,,x,,,,,,,,,,,x,,,x,,
Andrena integra,,,,x,,,,,,,,,x,,,,,,,,,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,
Andrena krigiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrena lupinorum,,,x,,,,,,,,,,,x,x,,,,,,,,,,,x,x,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,x,,,,,x,x,,,,,,,,,
Andrena macoupinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Andrena mandibularis,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,
Andrena mariae,,x,,,,,,,,,x,,x,x,x,,,,x,,,,,,,,x,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,x,,,,,,,,,x,,,,,,,,x,,,x,,,,,
Andrena melanochroa,,,x,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrena milwaukeensis,,x,x,,,,,,x,x,,,,x,x,,,,x,,,,x,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,x,,,,,,,,,,,,,x,,,x,,
Andrena miranda,,x,x,x,,,,,,,,x,,x,x,x,,x,,,,,,,,,x,x,x,x,x,,,x,x,,,x,,,,,,,,,,,x,,,,,,,,,,,x,,x,,,,,,,x,,x,,,x,,,,,,,,x,,,,,
Andrena miserabilis,,x,,,,,,x,,,,,x,,x,,,x,x,,,,x,,x,,x,x,,x,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,x,,,,,,,,,x,,,x,,,,,,,,x,,,,,
Andrena nasonii,,x,,,,,,,,x,,,,,,,,,x,,,,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,x,,,,,,,,,,,x,,,x,,
